kode_bps,kode_dagri,nama_bps,nama_dagri
3603070,36.03.22,PAGEDANGAN,PAGEDANGAN
3603081,36.03.23,CISAUK,CISAUK
3603121,36.03.29,SINDANG JAYA,SINDANG JAYA
3603130,36.03.01,BALARAJA,BALARAJA
3603131,36.03.02,JAYANTI,JAYANTI
3603132,36.03.27,SUKAMULYA,SUKAMULYA
3603140,36.03.06,KRESEK,KRESEK
3603141,36.03.32,GUNUNG KALER,GUNUNG KALER
3603150,36.03.07,KRONJO,KRONJO
3603151,36.03.33,MEKAR BARU,MEKAR BARU
3603160,36.03.08,MAUK,MAUK
3603161,36.03.09,KEMIRI,KEMIRI
3603162,36.03.10,SUKADIRI,SUKADIRI
3603170,36.03.11,RAJEG,RAJEG
3603180,36.03.16,SEPATAN,SEPATAN
3603181,36.03.30,SEPATAN TIMUR,SEPATAN TIMUR
3603190,36.03.15,PAKUHAJI,PAKUHAJI
3603200,36.03.13,TELUKNAGA,TELUKNAGA
3603210,36.03.14,KOSAMBI,KOSAMBI
3604010,36.04.31,CINANGKA,CINANGKA
3604020,36.04.29,PADARINCANG,PADARINCANG
3604030,36.04.27,CIOMAS,CIOMAS
3604040,36.04.28,PABUARAN,PABUARAN
3604041,36.04.33,GUNUNG SARI,GUNUNG SARI
3604050,36.04.22,BAROS,BAROS
